partition,test_type,pvim_item,status,owner,model
parmcmisc,ijtag_basic_tap_tests_reset_tlr,[NWP] TAP: ijtag reset does not perturb TDRs,MISSING,Mauricio Segura,nio_mc-a0-26ww20c
parmcmisc,ijtag_basic_tap_tests_reset_tlr,[NWP] TAP: treset - verify no TDRs perturbed by TRESET,MISSING,Mauricio Segura,nio_mc-a0-26ww20c
parmcmisc,ijtag_basic_tap_tests_rw_access,[NWP] TAP: iJTAG R/W,FAIL,Mauricio Segura,nio_mc-a0-26ww20c
parmcmisc,ijtag_basic_tap_tests_continuity,[NWP] TAP: IJTAG icl continuity tests of entire network,PASS,Mauricio Segura,nio_mc-a0-26ww20c
parmcmisc,ijtag_basic_tap_tests_continuity,"[NWP] TAP: pause-dr, exit, pause-ir",PASS,Mauricio Segura,nio_mc-a0-26ww20c
parmcmisc,ijtag_basic_tap_tests_continuity,[NWP] TAP: chain connectivity all RTDR and TDRs,PASS,Mauricio Segura,nio_mc-a0-26ww20c
parmcmisc,n/a,[NWP] TAP: security - sib,N/A,Mauricio Segura,nio_mc-a0-26ww20c
parmcmisc,icl_verify_dft,[NWP] TAP: icl_verify,MISSING,Mauricio Segura,nio_mc-a0-26ww20c
parmcmse,n/a,[NWP] IOV: Chain continuity check,N/A,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,n/a,[NWP] LCP: partition level validation - controller and chain continuity,N/A,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,n/a,[NWP] TAP: Boundary Scan,N/A,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,ijtag_basic_tap_tests_reset_tlr,[NWP] TAP: iJTAG reset / network collapse,MISSING,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,n/a,[NWP] TAP: security - taps & rtdrs,N/A,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,n/a,[NWP] IOV: Chain reset test,N/A,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,ijtag_basic_tap_tests_reset,[NWP] TAP: check reset (default) register values,PASS,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,ijtag_basic_tap_tests_user_defined,[NWP] TAP: IDCODE all taps in the partition,FAIL,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,n/a,[NWP] IOV: IDV counter readout,N/A,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,ijtag_basic_tap_tests_rw_access,[NWP] TAP: rw to all RTDR/TDR,PASS,Emmanuel Araya,nio_mc-a0-26ww20c
parmcmse,ijtag_basic_tap_tests_reset_tlr,[NWP] TAP: ijtag reset does not perturb TDRs,MISSING,Emmanuel Araya,nio_mc-a0-26ww20c
